# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20210517
# End date: 20210523
Day,Users
0000,467
0001,383
0002,356
0003,370
0004,334
0005,340
0006,343

# Start date: 20210517
# End date: 20210523
Day,New users
0000,380
0001,300
0002,278
0003,288
0004,254
0005,252
0006,271

# Start date: 20210517
# End date: 20210523
Day,Average engagement time
0000,56.44967880085653
0001,81.97650130548303
0002,73.62359550561797
0003,100.91081081081082
0004,105.0059880239521
0005,84.29705882352941
0006,77.25072886297376

# Start date: 20210517
# End date: 20210523
Day,Total revenue


#  


#  


# Where do your new users come from?
# Start date: 20210517
# End date: 20210523
User medium,New users
organic,1772
(none),199
referral,52

#  
# Start date: 20210517
# End date: 20210523
Session medium,Sessions
organic,2713
(none),302
referral,52

# Where are your users visiting from?
# Start date: 20210325
# End date: 20210523
Country ID,Users,Users (Previous)
Counting On a Tree - HackerRank Solutions,6
Designer PDF Viewer - HackerRank Solutions,4
Functions in C - HackerRank Solutions,7
Game of Two Stacks - HackerRank Solutions,5
Introduction to Sets Python - HackerRank Solutions,7
Kundu and Tree - HackerRank Solutions,4
Lazy White Falcon - HackerRank Solutions,7
Matrix - HackerRank Solutions,7
Pangrams - HackerRank Solutions,3
Piling Up! python - HackerRank Solutions,4
Poisonous Plants - HackerRank Solutions,5
Python Evaluation - HackerRank Solutions,5
Sherlock and Anagrams - HackerRank Solutions,3
Ticket to Ride - HackerRank Solutions,7
Tuples - HackerRank Solutions,3
Vector-Erase C++ - HackerRank Solutions,2
XOR Strings - HackerRank Solutions,0
itertools.product() python - HackerRank Solutions,5
Anagram - HackerRank Solutions,6
Build a Palindrome - HackerRank Solutions,8
Check Strict Superset Python - HackerRank Solutions,4
Climbing the Leaderboard - HackerRank Solutions,3
Drawing Book - HackerRank Solutions,1
Find Merge Point of Two Lists - HackerRank Solutions,2
Flipping the Matrix - HackerRank Solutions,6
Heavy Light 2 White Falcon - HackerRank Solutions,7
Heavy Light White Falcon - HackerRank Solutions,4
Hotel Prices C++ - HackerRank Solutions,8
Java BitSet - HackerRank Solutions,2
Matrix Land - HackerRank Solutions,2
Maximize It! python - HackerRank Solutions,5
Mini-Max Sum - HackerRank Solutions,3
Minimum Absolute Difference in an Array - HackerRank Solutions,0
Recursion: Fibonacci Numbers - HackerRank Solutions,0
"Small Triangles, Large Triangles C - HackerRank Solutions",3
"Spies, Revised - HackerRank Solutions",3
Swaps and Sum - HackerRank Solutions,2
Text Allignment Python - HackerRank Solutions,6
Unique Colors - HackerRank Solutions,4
Words Score Python - HackerRank Solutions,7
BST maintenance - HackerRank Solutions,5
Coloring Tree - HackerRank Solutions,6
Compress the String! python - HackerRank Solutions,3
Decibinary Numbers - HackerRank Solutions,4
Default Arguments Python - HackerRank Solutions,4
Gridland Provinces - HackerRank Solutions,7
Hard Disk Drives - HackerRank Solutions,2
Hash Tables: Ransom Note - HackerRank Solutions,5
Inner and Outer python - HackerRank Solutions,3
Java 1D Array (Part 2) - HackerRank Solutions,7
Java If-Else - HackerRank Solutions,1
Lena Sort - HackerRank Solutions,4
Maximum Element - HackerRank Solutions,3
Min and Max python - HackerRank Solutions,3
Number Game on a Tree - HackerRank Solutions,4
Number Line Jumps - HackerRank Solutions,0
Repeated String - HackerRank Solutions,3
Sam's Puzzle (Approximate) - HackerRank Solutions,1
Shape and Reshape python - HackerRank Solutions,2
The Longest Common Subsequence - HackerRank Solutions,1
Two Strings - HackerRank Solutions,4
Viral Advertising - HackerRank Solutions,1
Almost Equal - Advanced - HackerRank Solutions,6
Array and simple queries - HackerRank Solutions,3
Athlete Sort python - HackerRank Solutions,4
Binary Search Tree : Lowest Common Ancestor - HackerRank Solutions,2
C++ Variadics - HackerRank Solutions,5
Construct the Array - HackerRank Solutions,5
Coolguy and Two Subsequences - HackerRank Solutions,5
Easy Addition - HackerRank Solutions,6
Electronics Shop - HackerRank Solutions,1
Equal - HackerRank Solutions,6
Exceptions python - HackerRank Solutions,2
Interval Selection - HackerRank Solutions,2
Is This a Binary Search Tree? - HackerRank Solutions,3
Jaggu Playing with Balloons - HackerRank Solutions,6
Java Inheritance I - HackerRank Solutions,2
List Comprehensions - HackerRank Solutions,3
Minimum Operations - HackerRank Solutions,2
Prime Dates - HackerRank Solutions,2
Reverse Shuffle Merge - HackerRank Solutions,2
Set.add() Python - HackerRank Solutions,4
Starfleet - HackerRank Solutions,5
The Captain's Room Python - HackerRank Solutions,3
The Strange Function - HackerRank Solutions,5
The crazy helix - HackerRank Solutions,6
Tree: Inorder Traversal - HackerRank Solutions,1
Triangle Quest Python - HackerRank Solutions,5
White Falcon And Tree - HackerRank Solutions,6
AND xor OR - HackerRank Solutions,2
Almost sorted interval - HackerRank Solutions,5
Alternating Characters - HackerRank Solutions,0
Array Reversal - HackerRank Solutions,2
Choosing White Balls - HackerRank Solutions,3
Condition Statements in c - HackerRank Solutions,2
Cycle Detection - HackerRank Solutions,2
Divisibility - HackerRank Solutions,5
Fibonacci Numbers Tree - HackerRank Solutions,4
Find Maximum Index Product - HackerRank Solutions,5
Find the permutation - HackerRank Solutions,5
For Loop C++ - HackerRank Solutions,2
Gemstones - HackerRank Solutions,1
HackerRank City - HackerRank Solutions,1
HackerRank in a String! - HackerRank Solutions,4
Java Method Overriding - HackerRank Solutions,0
Java Method Overriding 2 (Super Keyword) - HackerRank Solutions,3
Java Priority Queue - HackerRank Solutions,3
Java Regex 2 - Duplicate Words - HackerRank Solutions,3
Magic Spells C++ - HackerRank Solutions,5
Min Max Riddle - HackerRank Solutions,5
Morgan and a String - HackerRank Solutions,3
Play with words - HackerRank Solutions,2
QHEAP1 - HackerRank Solutions,4
Queries with Fixed Length - HackerRank Solutions,5
Rooted Tree - HackerRank Solutions,5
Sam and substrings - HackerRank Solutions,3
Set Mutations Python - HackerRank Solutions,3
Sherlock and the Valid String - HackerRank Solutions,4
Structs C++ - HackerRank Solutions,3
Substring Diff - HackerRank Solutions,4
Subtrees And Paths - HackerRank Solutions,3
Sum of the Maximums - HackerRank Solutions,5
Super Maximum Cost Queries - HackerRank Solutions,3
Tree : Top View - HackerRank Solutions,2
Two Robots - HackerRank Solutions,2
Welcome to Java! - HackerRank Solutions,4
Append and Delete - HackerRank Solutions,2
Beautiful Segments - HackerRank Solutions,4
Burger Happiness - HackerRank Solutions,4
Caesar Cipher - HackerRank Solutions,2
Cards Permutation - HackerRank Solutions,4
Class 2 - Find the Torsional Angle python - HackerRank Solutions,2
Dot and Cross python - HackerRank Solutions,3
Dynamic Summation - HackerRank Solutions,4
Extra long Factorials - HackerRank Solutions,3
"Floor, Ceil and Rint python - HackerRank Solutions",2
Friend Circle Queries - HackerRank Solutions,2
Funny String - HackerRank Solutions,1
Inherited Code C++ - HackerRank Solutions,3
Java BigInteger - HackerRank Solutions,2
Java Generics - HackerRank Solutions,4
Library Fine - HackerRank Solutions,2
Lists - HackerRank Solutions,3
Lonely Integer - HackerRank Solutions,2
Making Candies - HackerRank Solutions,2
Median Updates - HackerRank Solutions,3
Network administration - HackerRank Solutions,4
New Year Chaos - HackerRank Solutions,2
No Idea! Python - HackerRank Solutions,4
Pair Sums - HackerRank Solutions,3
Palindrome Index - HackerRank Solutions,2
Prime Checker Java - HackerRank Solutions,2
Prime XOR - HackerRank Solutions,3
Printing Tokens - HackerRank Solutions,2
Recalling Early Days GP with Trees - HackerRank Solutions,3
Save the Prisoner! - HackerRank Solutions,1
"Say ""Hello, World!"" With C++ - HackerRank Solutions",1
Simple Text Editor - HackerRank Solutions,4
Stock Maximize - HackerRank Solutions,2
Super Functional Strings - HackerRank Solutions,4
Taxicab Driver's Problem - HackerRank Solutions,4
The Minion Game Python - HackerRank Solutions,4
Time Delta python - HackerRank Solutions,4
Transpose and Flatten python - HackerRank Solutions,1
Two Characters - HackerRank Solutions,1
Validating Email Adresses With a Filter python - HackerRank Solutions,3
Virtual Functions C++ - HackerRank Solutions,3
Wet Shark and Two Subsequences - HackerRank Solutions,1
Zig Zag Sequence - HackerRank Solutions,2
